index,Korea,English,Taiwanese,Portuguese,Italian,Turkish,Russian,French,Spanish,Japan
10017,리소스 데이터가 유효하지 않습니다. 게임을 완전히 삭제 후 다시 설치해주시기 바랍니다.,Resource data is invalid. Please completely remove the game and install again.,資源數據無效，請完全刪除遊戲後重新安裝。,Os dados do recurso são inválidos. Por favor. remova completamente o jogo e instale novamente.,La risorsa dati non è valida. Per favore rimuovi completamente il gioco e installalo nuovamente.,Kaynak verisi geçersiz. Lütfen oyunu tamamen siliniz ve tekrar yükleyiniz.,Неверные данные источника. Полностью удалите игру и установите снова.,Les données de ressources ne sont pas valides. Supprimez complètement le jeu et installez-le à nouveau.,Los datos de la fuente no son válidos. Por favor. elimina completamente el juego e instálalo de nuevo.,リソースデータが無効です。ゲームを完全に削除してから再インストールしてください。
10018,오늘 하루 보지 않기,Do not watch today.,今日不再查看,Não assistir hoje.,Non guardare oggi.,Bugün izleme.,Не показывать сегодня,Ne regardez pas aujourd'hui.,No ver hoy.,今日一日見ていない
10019,공지사항,Notice,公告事項,Aviso,Nota,Not,Объявление,Remarque,Aviso,お知らせ
10020,이용약관,Terms of Use,使用條款,Termos de Uso,Termini di Utilizzo,Kullanım Koşulları,Правила использования,Conditions d'utilisation,Términos de Uso,利用規約
10021,게스트 로그인,Guest login,訪客登入,Login como convidado,Login Ospite,Misafir Girişi,Гостевой вход,Connexion invitée,Acceso de Invitado,ゲストログイン
10022,게임이용약관에 동의,Agree to the Game Terms and Conditions,同意遊戲使用條款,Concordar com os Termos e Condições do Jogo,Accetta i Termini di Gioco e Condizioni,Oyun Kural ve Koşullarını kabul et,Согласие с правилами использования игры,Accepter les termes et conditions du jeu,Aceptar los Términos del Juego y las Condiciones,ゲーム利用規約に同意
10023,개인정보 수집. 이용에 동의,Agree to collect and use personal information,同意收集、使用個人資訊,Concordar em coleta e uso de informações pessoais,Accetta la collezione e l'uso di informazioni personali,Kişisel bilgi toplanılması ve kullanımasını kabul et,Согласие со сбором и использованием личных данных,Accepter la collecte et l'utilisation des informations personnelles,Aceptar la recopilación y uso de la información personal,個人情報の収集・利用に同意
10024,"권한이 거부되어 게임을 진행할 수 없습니다.\n\n<size=25> *<color=maroon>기기 사진. 미디어. 파일 액세스</color> : 디바이스의 저장공간에 게임을 설치하고.게임플레이 데이터를 저장하고 불러오는데 사용됩니다.\n\n *<color=maroon>주소록 액세스</color> : 사용자의 계정정보를 구글게임서비스와 아이디와 연동하기 위해 사용됩니다.\n\n</size><size=20>\""다시 묻지 않기\""를 체크하셨다면 설정->애플리케이션->어드벤처타임 런->권한 메뉴에서 확인 가능합니다.</size>","Your permission was denied and you can not proceed with the game.\n\n<size=25> *<color=maroon>Device Pictures. Media. and File Access </ color>: Used to install games in the device's storage space. and to save and load game play data.\n\n *<color=maroon>Address Book Access </ color>: Used to associate your account information with Google Game Services and ID.\n\n</size><size=20> If you check ""Do not ask me again."" you can check it in Settings -> Applications -> Adventure Time Run -",拒絕權限，無法進行遊戲。\n\n<size=25> *<color=maroon>裝置照片、多媒體、檔案資料庫</color> : 於設備儲存空間安裝遊戲，用於儲存並讀取遊戲數據。\n\n *<color=maroon>通訊錄資料庫</color> :用於同步使用者帳號資訊與Google遊戲服務與ID。\n\n</size><size=20>\若勾選「不要再詢問\」，可於設定->應用程式->探險活寶->權限選單中確認。</size>,"Sua permissão foi negado e você não pode prosseguir com o jogo.\n\n<size=25> *<color=maroon>Fotos do dispositivo. Mídia e Acesso de arquivos </color>: Usado para instalar os jogos no espaço de armazenamento do dispositivo e para salvar e carregar os dados de jogo.\n\n *<color=maroon>Acesso ao livro de endereços </ color>: Usado para associar as informações de sua conta com Serviços de jogos do Google e ID.\n\n</size><size=20> Se você marcar ""Não me pergunte novamente"". você pode verificá-lo na Configurações -> Aplicações -> Adventure Time Run -","Il tuo permesso è stato negato e non puoi procedere col gioco.\n\n<misura=25> *<colore=marrone>Immagini Dispositivo. Media. File Access </ colore>: Usato per installare giochi sulla memoria del dispositivo. e per salvare e caricare i dati di gioco.\n\n *<colore=marrone>Accesso Rubrica </ colore>: Usato per associare le informazioni del tuo account ai Servizi Gioco Google e ID.\n\n</misura><misura=20> Se segni ""Non chiedermi più."" puoi cambiarlo in Impostazioni -> Applicazioni -> Tempo di Gioco -",İznin reddedildi ve oyuna ilerleyemedin..\n\n<size=25> *<color=maroon>Cihaz Resimleri.Medya ve Dosya Erişimi</ color>:cihazın depolama boşluğuna oyunları yükle. kaydet ve oyun oynama verisini yükle..\n\n *<color=maroon>Adres Kitabı Erişimi </ color>: Hesap bilgilerini Google Oyun Hizmetleri ve takma adıyla birleştir.\n\n</size><size=20> Eğer ''bana bir daha sorma'' yı kontrol etmek istersen Ayarlar -> Uygulamalar -> Macera Zaman Koşusu ndan kontrol edebilirsin.,"Ваше разрешение было отклонено. вы не можете продолжить игру.\n\n<size=25> *<color=maroon>Доступ к фото. медиа и файлам устройства </ color>: Используется для установки игры в память устройства и для сохранения и загрузки игровых данных.\n\n *<color=maroon>Доступ к адресной книге </ color>: Используется для синхронизации информация вашего аккаунта с сервисами и ID Google Game.\n\n</size><size=20> Если отметить пункт ""Больше не спрашивать"". можно посмотреть позднее в Настройках -> Приложения -> Adventure Time Run -","Votre autorisation a été refusée et vous ne pouvez pas accéder au jeu.\n\n<size=25> *<color=maroon>Images du périphérique. médias et accès aux fichiers </ color>: Utilisé pour installer les jeux dans l'espace de stockage de l'appareil. et pour sauvegarder et charger les données de jeu. \n\n*<color=maroon>Accès au carnet d'adresses </ color>: Utilisé pour associer les informations de votre compte à Google Game Services et à l'identifiant. \n\n</size><size=20> Si vous cochez ""Ne me demandez plus"". vous pouvez le vérifier dans Paramètres -> Applications -> Adventure Time Run -","Tu permiso fue denegado y no puedes continuar con el juego.\n\n<size=25> *<color=maroon>Acceso a las Fotos. Media y Archivos </ color>: Usado para instalar los juegos en la memoria del dispositivo. y para guardar y cargar los datos del juego.\n\n *<color=maroon>Acceso al Directorio </ color>: Usado para asociar la información de tu cuenta con los Servicios de Google y el ID.\n\n</size><size=20> Si marcas las casilla de ""No me preguntes de nuevo"". puedes comprobarlo en Ajustes -> Aplicaciones -> Carreras de Hora de Aventura -","アクセスが拒否されゲームを続行できません。\n\n <size = 25> * <color = maroon>デバイスの写真、メディア、およびファイルアクセス</ color>：ゲームのインストールおよびゲームプレイデータを保存してロードするために、デバイスのストレージスペースが使用されます。\n\n * <color = maroon>アドレス帳へのアクセス</ color>：アカウント情報をGoogleゲームサービスとIDに関連付けるために使用されます。\n\n </ size> <size = 20> ""Do not ask me again""にチェックした場合 - >アプリケーション - >アドベン・チャータイム ラン - >権限メニューから確認ができます。</ size>"
10025,게임 실행 시 다음과 같은 권한이 필요합니다.\n\n<size=25> *<color=maroon>기기 사진. 미디어. 파일 액세스</color> : 디바이스의 저장공간에 게임을 설치하고.게임플레이 데이터를 저장하고 불러오는데 사용됩니다.\n\n *<color=maroon>주소록 액세스</color> : 사용자의 계정정보를 구글게임서비스와 아이디와 연동하기 위해 사용됩니다.</size>\n\n권한 설정 확인 후 게임 진행을 부탁드립니다.,The following permissions are required to run the game.\n\n<size=25> *<color=maroon>Device Pictures. Media. and File Access </ color>: Used to install games in the device's storage space. and to save and load game play data.\n\n *<color=maroon>Address Book Access </ color>: Used to associate your account information with Google Game Services and ID.</size>\n\nPlease check your permission settings before proceeding.,執行遊戲時需下列權限。\n\n<size=25> *<color=maroon>裝置照片、多媒體、檔案資料庫</color> : 於設備儲存空間安裝遊戲，用於儲存並讀取遊戲數據。\n\n *<color=maroon>通訊錄資料庫</color> :用於同步使用者帳號資訊與Google遊戲服務與ID。<size=20>\n\n請確認權限設定後，再執行遊戲。,As seguintes permissões são necessários para executar o jogo.\n\n<size=25> *<color=maroon>Fotos do dispositivo. Mídia e Acesso de arquivos </ color>: Usado para instalar os jogos no espaço de armazenamento do dispositivo e para salvar e carregar os dados de jogo.\n\n *<color=maroon>Acesso ao livro de endereços </color>: Usado para associar as informações de sua conta com Serviços de jogos do Google e ID.</size>\n\nPor favor. verifique as configurações de permissão antes de prosseguir.,I seguenti permessi sono necessari per giocare.\n\n<misura=25> *<colore=marrone>Immagini Dispositivo. Media. File Access </ colore>: Usato per installare giochi sulla memoria del dispositivo. e per salvare e caricare i dati di gioco.\n\n *<colore=marrone>Accesso Rubrica </ colore>: Usato per associare le informazioni del tuo account ai Servizi Gioco Google e ID.</misura>\n\nPer favore controlla le tue impostazioni di permesso prima di procedere.,Takip eden izinler oyunun çalştırılmasına gereksinim duyar.\n\n<size=25> *<color=maroon>Cihaz Resimleri. Medya ve Dosya Erişimi</ color>: cihazın depolama boşluğuna oyunları yükle. kaydet ve oyun oynama verisini yükle..\n\n *<color=maroon>Adres Kitabı Erişimi </ color>: Hesap bilgilerini Google Oyun Hizmetleri ve takma adıyla birleştir.</size>\n\nLütfen sürdürmeden önce izin ayarlarınızı kontrol ediniz.,Следующие разрешения необходимы для запуска игры.\n\n<size=25> *<color=maroon>Доступ к фото. медиа и файлам устройства </ color>: Используется для установки игры в память устройства и для сохранения и загрузки игровых данных.\n\n *<color=maroon>Доступ к адресной книге </ color>: Используется для синхронизации информация вашего аккаунта с сервисами и ID Google Game.</size>\n\nПроверьте настройки разрешений перед тем. как продолжить.,Les autorisations suivantes sont nécessaires pour exécuter le jeu.\n\n<size=25> *<color=maroon>Images du périphérique. médias et accès aux fichiers </ color>: Utilisé pour installer les jeux dans l'espace de stockage de l'appareil. et pour sauvegarder et charger les données de jeu. \n\n*<color=maroon>Accès au carnet d'adresses </ color>: Utilisé pour associer les informations de votre compte à Google Game Services et à l'identifiant. </size>\n\nVeuillez vérifier vos paramètres d'autorisation avant de procéder.,Los siguientes permisos son requeridos para ejecutar el juego.\n\n<size=25> *<color=maroon>Acceso a las Fotos. Media y Archivos </ color>: Usado para instalar los juegos en la memoria del dispositivo. y para cargar y guardar los datos del juego.\n\n *<color=maroon>Acceso al Directorio </ color>: Usado para asociar la información de tu cuenta con los Servicios de Google Game y el ID.</size>\n\nPor favor. comprueba los ajustes de los permisos antes de continuar.,ゲームを実行するためには次の権限が必要です。\n\n <size = 25> * <color = maroon>デバイスの写真、メディア、およびファイルアクセス</ color>：ゲームのインストールおよびゲームプレイデータを保存してロードするために、デバイスのストレージスペースが使用されます。\n\n * <color = maroon>アドレス帳へのアクセス</ color>：アカウント情報をGoogleゲームサービスとIDに関連付けるために使用されます。</ size> \n\nゲームの実行前に権限の設定をご確認ください。
10026,닫기,close,關閉,Fechar,Chiudi,Kapat,Закрыть,Fermer,cerrar,閉じる
10027,설정,Setting,設定,Configuração,Impostazioni,Ayar,Настройки,Réglage,Ajustes,設定
10028,계정 로그인 방식을 선택하세요. ※주의! 게스트 계정은 기기 변경 시 게임 정보가 유지되지 않습니다.,Please choose an account login method. ※Caution! Guest accounts do not retain game data when the device is changed.,請選擇登入帳號方式。※注意！變更裝置時，訪客帳號遊戲資訊將消失。,Por favor. escolha um método de login da conta. ※Cuidado! Contas de convidado não mantem os dados do jogo quando o dispositivo é alterado.,Scegli un metodo di login all'account. ※Attenzione! Gli account ospite non mantengono in memoria i dati di gioco quando si cambia il dispositivo.,Lütfen hesap giriş metodu seçiniz.※Dikkat! Misafir hesapları cihaz değiştiğinde oyun verisini koruyamaz.,Выберите метод входа в аккаунт. ※Внимание! Гостевые аккаунты не позволяют сохранять данные в случае смены устройства.,Choisissez une méthode de connexion au compte. ※Attention! Les comptes invités ne conservent pas les données de jeu lorsque le périphérique est modifié.,Por favor. elige un método de acceso a la cuenta. ※ ¡Cuidado! Las cuentas de invitados no mantienen los datos del juego cuando se cambia de dispositivo.,アカウントのログイン方法を選択してください。 ※注意！ゲストアカウントはデバイス変更時にゲーム情報が保持されません。
10029,구글 로그인,Google Login,Google登入,Google Login,Google Login,Google Girişi,Вход через Google,Connexion à Google,Iniciar sesión en Google,Googleログイン
10030,게임센터 연결되지 않음,Game Center Not Connected,未連結至遊戲中心,Centro de jogos não conectado,Centro di Gioco non Connesso,Oyun Merkezi bağlı değil,Нет соединения с игровым центром,Game center déconnecté,Game Center no conectado,ゲームセンターに接続されていません。
10031,Guest,Guest,Guest,Convidado,Ospite,Misafir,Гость,Invité,Invitado,ゲスト
10032,카툰 네트워크에서 어드벤처 타임을 시청하세요.,Watch Adventure Time on Cartoon Network.,請於卡通頻道收看探險活寶。,Assista Adventure Time no Cartoon Network.,Guarda Adventure Time su Cartoon Network.,Macera Zamanını Cartoon Network de izle.,"Смотрите ""Время приключений"" на канале Cartoon Network.",Regarder Adventure Time sur Cartoon Network.,Ver Hora de Aventura en Cartoon Network.,アドベンチャータイムを見るならカートゥーン ネットワーク！
10033,서버연결이 잘 안되고 있습니다.\n게임을 종료하시겠습니까?,Your connection to the server is not good.\nAre you sure you want to quit the game?,未連結伺服器，\n要結束遊戲嗎？,Sua conexão com o servidor não é boa.\nVocê tem certeza que deseja sair do jogo?,La tua connessione al server non è buona.\nSei sicuro di voler chiudere il gioco?,Sunucu bağlantın iyi değil.\nOyundan çıkmak istediğine emin misin?,Плохое соединение с сервером.\nВыйти из игры?,Votre connection au serveur n'est pas bonne.\nÊtes vous sur de vouloir quitter le jeu ?,No tienes una buena conexión al servidor.\n¿Estás seguro de que quieres abandonar el juego?,サーバーに接続できません。\nゲームを終了しますか？
10034,패치 정보 파일에 문제가 있습니다.\n게임을 종료하시겠습니까,There is a problem with the patch information file.\nDo you want to quit the game?,更新資訊檔案發生問題，\n要結束遊戲嗎？,Há um problema com o arquivo de informações do patch.\nDeseja encerrar o jogo?,C'è un problema con il file delle informazioni.\nVuoi chiudere il gioco?,Yama bilgisi dosyanda bir problem var.\nOyundan çıkmak istiyor musun?,Проблема с патч-файлом данных.\nВыйти из игры?,Il y a un problème avec le fichier de mise à jour.\n Voulez vous quitter le jeu ?,Hay un problema con el archivo de información.\n¿Quieres abandonar el juego?,パッチファイルに問題があります。\nゲームを終了しますか
10035,패치 파일 로드에 문제가 있습니다.\n게임을 종료하시겠습니까?,There is a problem loading the patch file.\nDo you want to quit the game?,下載更新檔案發生問題，\n要結束遊戲嗎？,Há um problema ao carregar o arquivo patch.\nDeseja encerrar o jogo?,C'è un problema con il file patch.\nVuoi chiudere il gioco?,Yama dosyasını yüklemede bir problem var.\nOyundan çıkmak istiyor musun?,Проблема с загрузкой патч-файла.\nВыйти из игры?,Il y a un problème de chargement du fichier de mise à jour.\nVoulez vous quitter le jeu ?,Hay un problema al cargar el archivo de reparación.\n¿Quieres abandonar el juego?,パッチファイルの読み込みに問題があります。\nゲームを終了しますか？
10036,기존패치 파일이 존재합니다.\n게임을 종료하시겠습니까?,Patch file already exists.\n Are you sure you want to quit the game?,基本更新檔案不存在，\n要結束遊戲嗎？,O arquivo patch já existe.\nTem certeza de que deseja sair do jogo?,Il file patch esiste già.\n Sei sicuro di voler chiudere il gioco?,Yama dosyası zaten var.\nOyundan çıkmak istediğine emin misin?,Патч-файл уже существует.\nВыйти из игры?,Le fichier de mis à jour est déjà existant.\n Êtes vous sur de vouloir quitter le jeu ?,El archivo de reparación ya existe.\n¿Estás seguro de que quieres abandonar el juego?,既にパッチファイルが存在します。\nゲームを終了しますか？
10037,패치 다운로드에 문제가 있습니다.\n게임을 종료하시겠습니까?,There is a problem downloading the patch file.\nDo you want to quit the game?,下載更新檔案發生問題，\n要結束遊戲嗎？,Há um problema ao baixar o arquivo patch.\nDeseja sair do jogo?,Si verifica un problema facendo il download del file patch.\nVuoi chiudere il gioco?,Yama dosyasını indirmede bir problem var.\nOyundan çıkmak istiyor musun?,Проблема со скачиванием патч-файла.\nВыйти из игры?,Il y a un problème avec le téléchargement du fichier de mise à jour.\nVoulez vous quitter le jeu ?,Hay un problema al descargar el archivo de reparación.\n¿Quieres abandonar el juego?,パッチのダウンロードに問題があります。\nゲームを終了しますか？
10038,새로운 버전 설치가 필요합니다.,A new version installation is required.,需安裝新版本。,Instalação de uma nova versão é necessário.,E' richiesta una nuova versione da installare.,Yeni versiyon yükleme gerekli.,Необходимо установить новую версию.,Une nouvelle version est requise.,Una nueva versión de la instalación es requerida.,新しいバージョンのインストールが必要です。
10039,서버연결이 잘 안되고 있습니다.\n게임을 종료하시겠습니까?,Your connection to the server is not good.\n Are you sure you want to quit the game?,未連結伺服器，\n要結束遊戲嗎？,Sua conexão com o servidor não é boa.\nTem certeza de que deseja encerrar o jogo?,La tua connessione al server non è buona.\nSei sicuro di voler chiudere il gioco?,Sunucu bağlantın iyi değil.\nOyundan çıkmak istediğine emin misin?,Плохое соединение с сервером.\nВыйти из игры?,Votre connection au serveur n'est pas bonne.\n Êtes vous sur de vouloir quitter le jeu ?,No tienes una buena conexión al servidor.\n¿Estás seguro de que quieres abandonar el juego?,サーバーに接続できません。\nゲームを終了しますか？
10040,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10041,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10042,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10043,"""패치 정보 받는 중"".","""Getting patch information"".",「接收更新資訊中」.,"""Obtendo informações de patch"".","""Sto ottenendo le informazioni patch"".","""Yama bilgisi alınıyor''.","""Getting patch information"".","""Obtention du fichier de mise a jour"".","""Conseguir la información de la reparación"".",パッチ情報受信中
10044,"""패치 받는 중"".","""Patching"".",「接收更新中」.,"""Patching"".","""Patching"".","""Yamalanıyor''.","""Patching"".","""Mise à jour"".","""Reparando"".",パッチ受信中
10045,"""게임 데이터 테이블 로드 중"".","""Loading game data table"".",「讀取遊戲數據表中」.,"""Carregando a tabela de dados do jogo"".","""Caricamento tabella dati gioco"".","""Oyun veri tablosu yükleniyor''.","""Loading game data table"".","""Chargement des Fichiers de Jeu"".","""Cargando los datos del juego"".",ゲームデータをロード中
10046,"""게임 데이터 테이블 로드 중"".","""Loading game data table"".",「讀取遊戲數據表中」.,"""Carregando a tabela de dados do jogo"".","""Caricamento tabella dati gioco"".","""Oyun veri tablosu yükleniyor''.","""Loading game data table"".","""Chargement des Fichiers de Jeu"".","""Cargando los datos del juego"".",ゲームデータをロード中
10047,"""사운드 파일 로드 중"".","""Loading Sound File"".",「下載音檔中」.,"""Carregando arquivo de som"".","""Caricamento File suoni"".","""Ses dosyası yükleniyor''.","""Loading Sound File"".","""Chargement du fichier sonore"".","""Cargando Archivo de Sonido"".",サウンドファイルをロード中
10048,"""사운드 파일 로드 중"".","""Loading Sound File"".",「下載音檔中」.,"""Carregando arquivo de som"".","""Caricamento File suoni"".","""Ses dosyası yükleniyor''.","""Loading Sound File"".","""Chargement du fichier sonore"".","""Cargando Archivo de Sonido"".",サウンドファイルをロード中
10049,"""오브젝트 파일 로드 중"".","""Loading Object File"".",「下載目標程序檔中」.,"""Carregando arquivo de objeto"".","""Caricamento File Oggetti"".","""Nesne dosyası yükleniyor''.","""Loading Object File"".","""Chargement du fichier objet"".","""Cargando Archivo Objeto"".",オブジェクトファイルを読み込み中
10050,"""오브젝트 파일 로드 중"".","""Loading Object File"".",「下載目標程序檔中」.,"""Carregando arquivo de objeto"".","""Caricamento File Oggetti"".","""Nesne dosyası yükleniyor''.","""Loading Object File"".","""Chargement du fichier objet"".","""Cargando Archivo Objeto"".",オブジェクトファイルを読み込み中
10051,"""스프라이트 파일 로드 중"".","""Loading sprite file"".",「下載sprite檔案中」.,"""Carregando arquivo sprite"".","""Caricamento File sprite"".","""Hareket dosyası yükleniyor''.","""Loading sprite file"".","""Chargement du fichier sprite"".","""Cargando el archivo duende"".",スプライトファイルの読み込み中
10052,"""스프라이트 파일 로드 중"".","""Loading sprite file"".",「下載sprite檔案中」.,"""Carregando arquivo sprite"".","""Caricamento File sprite"".","""Hareket dosyası yükleniyor''.","""Loading sprite file"".","""Chargement du fichier sprite"".","""Cargando el archivo duende"".",スプライトファイルの読み込み中
10053,"""씬 로드 중"".","""Loading Scene"".",「下載場景中」.,"""Carregando Cena"".","""Caricamento Scena"".","""Görüntü yükleniyor''.","""Loading Scene"".","""Chargement du décor"".","""Cargando Escenario"".",シーンをロード中
10054,"""씬 로드 중"".","""Loading Scene"".",「下載場景中」.,"""Carregando Cena"".","""Caricamento Scena"".","""Görüntü yükleniyor''.","""Loading Scene"".","""Chargement du décor"".","""Cargando Escenario"".",シーンをロード中
